exp,sample_idx,cf_variant,delta_target_terms,delta_opposite_terms,direction_accuracy,net_direction_accuracy,prompt_echo_rate,base_mentions_top1_title,cf_mentions_top1_title,title_drift,text_changed,top1_music_id
exp_01,2254,cf_lyrical_piano,9,-2,1,1,1.0,0,0,0,1,Fr2ZASMNaa0_fQZL6kaJav0
exp_01,2316,cf_upbeat_electronic,9,0,1,1,0.9167,1,1,0,1,vFboLj5VmLk_LhgbRblgZTk
exp_01,2316,cf_lyrical_piano,9,-2,1,1,1.0,1,1,0,1,vFboLj5VmLk_LhgbRblgZTk
exp_01,2322,cf_upbeat_electronic,5,1,1,0,0.8,1,1,0,1,S80Hk04QQpk_jLyNyUPlvhg
exp_01,2322,cf_lyrical_piano,4,1,1,0,0.75,1,1,0,1,S80Hk04QQpk_jLyNyUPlvhg
exp_01,2325,cf_upbeat_electronic,3,0,1,1,0.75,1,1,0,1,I_pHlR8ZKwU_Xbi1XetWUls
exp_01,2325,cf_lyrical_piano,9,-5,1,1,1.0,1,1,0,1,I_pHlR8ZKwU_Xbi1XetWUls
exp_01,2334,cf_upbeat_electronic,-1,0,0,0,1.0,0,1,0,1,L8y47ypui5o_kynUSL8fr_4
exp_01,2334,cf_lyrical_piano,6,-3,1,1,1.0,0,1,0,1,L8y47ypui5o_kynUSL8fr_4
exp_01,2368,cf_upbeat_electronic,7,0,1,1,1.0,1,1,0,1,pQdbNvEAmo0_GOkwlQbLNiM
exp_01,2368,cf_lyrical_piano,6,-2,1,1,0.6667,1,1,0,1,pQdbNvEAmo0_GOkwlQbLNiM
exp_01,2378,cf_upbeat_electronic,2,0,1,1,0.6667,0,1,0,1,2WzHhtkF8JM_0Y1v5HCWz6M
exp_01,2378,cf_lyrical_piano,3,-1,1,1,0.6667,0,0,0,1,2WzHhtkF8JM_0Y1v5HCWz6M
exp_01,2446,cf_upbeat_electronic,4,0,1,1,0.6667,0,1,0,1,wWCZ65xE-7c_mLg_eN8JPzo
exp_01,2446,cf_lyrical_piano,5,-2,1,1,0.8,0,1,0,1,wWCZ65xE-7c_mLg_eN8JPzo
exp_01,2449,cf_upbeat_electronic,6,0,1,1,0.6667,0,0,0,1,ijOoVwbm0DE_939GqwQGY6k
exp_01,2449,cf_lyrical_piano,3,0,1,1,0.6667,0,0,0,1,ijOoVwbm0DE_939GqwQGY6k
exp_01,2455,cf_upbeat_electronic,1,0,1,1,0.8571,1,1,0,1,ZKV1Em1DaNI_RZ4Rx_WqH4Y
exp_01,2455,cf_lyrical_piano,7,-3,1,1,0.75,1,1,0,1,ZKV1Em1DaNI_RZ4Rx_WqH4Y
